1273_VC0679_ODB_CLSTR741,-,['WP_000002742.1']
891_VC1758_ODB_CLSTR570,+,['WP_000002768.1']
2753_VC1673_ODB_CLSTR1241,-,"['WP_000003251.1', 'WP_000691879.1', 'WP_001044382.1']"
3082_VC1673_ODB_CLSTR1241,-,"['WP_000003251.1', 'WP_000691879.1']"
1500_VCA0629_ODB_CLSTR816,-,['WP_000004192.1']
877_VC2359_ODB_CLSTR558,-,['WP_000004496.1']
5785_VCA0724_MCRBS_CLSTR94,-,"['WP_000005533.1', 'WP_000524441.1', 'WP_000957824.1', 'WP_000759052.1']"
101_VCA0724_ODB_CLSTR94,-,['WP_000005533.1']
4451_VC0453_MCRBS_CLSTR1487,+,['WP_000005584.1']
5373_VC2568_MCRBS_CLSTR1837,+,['WP_000005600.1']
398_VC0627_ODB_CLSTR261,+,['WP_000005741.1']
4902_VC1476_MCRBS_CLSTR1656,+,['WP_000005769.1']
4206_VC0682_ODB_CLSTR242,+,"['WP_000006088.1', 'WP_000071968.1']"
1465_VC0060_ODB_CLSTR809,+,['WP_000006444.1']
2533_VC2506_ODB_CLSTR744,-,['WP_000006492.1']
4169_VC0544_ODB_CLSTR1004,+,"['WP_000006855.1', 'WP_000344160.1']"
1983_VC0544_ODB_CLSTR1004,+,['WP_000006855.1']
1179_VC2686_ODB_CLSTR694,-,['WP_000007388.1']
2377_VCA0837_ODB_CLSTR1167,-,['WP_000007485.1']
4264_VC0039_MCRBS_CLSTR1406,+,['WP_000008126.1']
2337_VC0066_ODB_CLSTR1145,+,"['WP_000008477.1', 'WP_000912209.1', 'WP_001884245.1', 'WP_000954515.1', 'WP_000251961.1', 'WP_000071109.1']"
5734_VCA0599_MCRBS_CLSTR170,-,"['WP_000009279.1', 'WP_001200476.1', 'WP_000935647.1', 'WP_000177782.1']"
5465_VCA0005_MCRBS_CLSTR509,+,"['WP_000009502.1', 'WP_000533705.1']"
2868_VCA0189_ODB_CLSTR290,+,"['WP_000009679.1', 'WP_000880547.1']"
5607_VCA0346_MCRBS_CLSTR1944,+,['WP_000009888.1']
4324_VC0176_MCRBS_CLSTR1429,-,['WP_000009890.1']
1243_VC0341_ODB_CLSTR719,+,['WP_000010183.1']
242_VC1407_ODB_CLSTR191,+,['WP_000010608.1']
5916_VCA0990_MCRBS_CLSTR2127,-,['WP_000010673.1']
5073_VC1875_MCRBS_CLSTR122,-,"['WP_000011329.1', 'WP_000350068.1', 'WP_001994134.1', 'WP_000052153.1', 'WP_000173776.1']"
2957_VC1875_ODB_CLSTR122,-,"['WP_000011329.1', 'WP_000350068.1', 'WP_001994134.1', 'WP_000052153.1']"
3123_VC2427_ODB_CLSTR1297,+,"['WP_000011557.1', 'WP_000207198.1']"
4092_VC2427_ODB_CLSTR1297,+,['WP_000011557.1']
2738_VC2131_ODB_CLSTR499,-,"['WP_000012402.1', 'WP_000880258.1', 'WP_000367979.1']"
2773_VC2131_ODB_CLSTR499,-,"['WP_000012402.1', 'WP_000880258.1']"
2971_VC2493_ODB_CLSTR111,+,"['WP_000012771.1', 'WP_000030317.1', 'WP_000132138.1']"
4601_VC0802_MCRBS_CLSTR1534,+,['WP_000014298.1']
4360_VC0252_MCRBS_CLSTR1449,+,['WP_000016342.1']
485_VC0963_ODB_CLSTR328,+,['WP_000016395.1']
859_VC2226_ODB_CLSTR549,+,"['WP_000016423.1', 'WP_000836541.1']"
4145_VC2226_ODB_CLSTR549,+,['WP_000016423.1']
